WARNING 2025-05-14 03:41:24,323 basehttp "GET /media/profile/2025/05/14/60ae9cadfd8fe009c913d6a3413fdcff.jpg HTTP/1.1" 404 179
WARNING 2025-05-14 03:41:24,323 basehttp "GET /static/css/style.css HTTP/1.1" 404 179
WARNING 2025-05-14 03:41:24,324 basehttp "GET /static/img/%D0%9B%D0%BE%D0%B3%D0%BE%D1%82%D0%B8%D0%BF.png HTTP/1.1" 404 179
WARNING 2025-05-14 03:41:24,358 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:41:24,359 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:41:24,387 log Not Found: /static/img/Логотип.ico
WARNING 2025-05-14 03:41:24,388 basehttp "GET /static/img/%D0%9B%D0%BE%D0%B3%D0%BE%D1%82%D0%B8%D0%BF.ico HTTP/1.1" 404 179
INFO 2025-05-14 03:41:25,265 basehttp "GET /accounts/profile/ HTTP/1.1" 200 27411
WARNING 2025-05-14 03:41:25,297 log Not Found: /static/css/style.css
WARNING 2025-05-14 03:41:25,299 log Not Found: /media/profile/2025/05/14/60ae9cadfd8fe009c913d6a3413fdcff.jpg
WARNING 2025-05-14 03:41:25,299 log Not Found: /static/img/Логотип.png
WARNING 2025-05-14 03:41:25,300 basehttp "GET /static/css/style.css HTTP/1.1" 404 179
WARNING 2025-05-14 03:41:25,300 basehttp "GET /static/img/%D0%9B%D0%BE%D0%B3%D0%BE%D1%82%D0%B8%D0%BF.png HTTP/1.1" 404 179
WARNING 2025-05-14 03:41:25,301 basehttp "GET /media/profile/2025/05/14/60ae9cadfd8fe009c913d6a3413fdcff.jpg HTTP/1.1" 404 179
WARNING 2025-05-14 03:41:25,315 log Not Found: /api/notifications/count/
WARNING 2025-05-14 03:41:25,318 basehttp "GET /api/notifications/count/ HTTP/1.1" 404 179
WARNING 2025-05-14 03:41:25,352 log Not Found: /static/img/Логотип.ico
